Country Code,Year,CO2_emissions
USA,1991,4807496.5
USA,1992,4879626.1
USA,1993,4995209.5
USA,1994,5066803.0
USA,1995,5117036.9
USA,1996,5273486.3
USA,1997,5543349.4
USA,1998,5590536.3
USA,1999,5609017.3
USA,2000,5775807.2
USA,2001,5748261.8
USA,2002,5593024.4
USA,2003,5658992.0
USA,2004,5738286.0
USA,2005,5753493.2
USA,2006,5653081.0
USA,2007,5736319.3
USA,2008,5558378.9
USA,2009,5156424.9
USA,2010,5392109.4
USA,2011,5173591.2
USA,2012,4956053.0
USA,2013,5092097.2
USA,2014,5107208.6
USA,2015,4990703.7
USA,2016,4894499.2
USA,2017,4819365.1
USA,2018,4975300.4
USA,2019,4817710.4
USA,2020,4320532.5
USA,2021,
USA,2022,
