Country Code,Year,CO2_emissions
VNM,1991,19796.6
VNM,1992,20812.9
VNM,1993,24244.9
VNM,1994,26682.3
VNM,1995,31401.0
VNM,1996,35033.5
VNM,1997,40842.9
VNM,1998,45473.9
VNM,1999,46412.8
VNM,2000,51207.7
VNM,2001,56722.4
VNM,2002,66495.8
VNM,2003,70903.7
VNM,2004,85051.8
VNM,2005,92368.6
VNM,2006,94869.7
VNM,2007,105137.4
VNM,2008,117585.1
VNM,2009,132290.0
VNM,2010,151413.5
VNM,2011,155973.3
VNM,2012,155522.8
VNM,2013,164297.4
VNM,2014,180698.8
VNM,2015,201513.3
VNM,2016,222028.5
VNM,2017,229877.4
VNM,2018,286139.3
VNM,2019,341716.8
VNM,2020,355323.1
VNM,2021,
VNM,2022,
