Entity,Code,Year,variable,value
Vietnam,VNM,1990,agriculture,46000000.0
Vietnam,VNM,1991,agriculture,48460000.0
Vietnam,VNM,1992,agriculture,49440000.0
Vietnam,VNM,1993,agriculture,50680000.0
Vietnam,VNM,1994,agriculture,53290000.0
Vietnam,VNM,1995,agriculture,54210000.0
Vietnam,VNM,1996,agriculture,56920000.0
Vietnam,VNM,1997,agriculture,57250000.0
Vietnam,VNM,1998,agriculture,60500000.0
Vietnam,VNM,1999,agriculture,62590000.0
Vietnam,VNM,2000,agriculture,63760000.0
Vietnam,VNM,2001,agriculture,61190000.0
Vietnam,VNM,2002,agriculture,62500000.0
Vietnam,VNM,2003,agriculture,64239996.0
Vietnam,VNM,2004,agriculture,65839996.0
Vietnam,VNM,2005,agriculture,65559996.0
Vietnam,VNM,2006,agriculture,66269996.0
Vietnam,VNM,2007,agriculture,67570000.0
Vietnam,VNM,2008,agriculture,64989996.0
Vietnam,VNM,2009,agriculture,70150000.0
Vietnam,VNM,2010,agriculture,67740000.0
Vietnam,VNM,2011,agriculture,66480004.0
Vietnam,VNM,2012,agriculture,67510000.0
Vietnam,VNM,2013,agriculture,70520000.0
Vietnam,VNM,2014,agriculture,68920000.0
Vietnam,VNM,2015,agriculture,71710000.0
Vietnam,VNM,2016,agriculture,70770000.0
Vietnam,VNM,2017,agriculture,70820000.0
Vietnam,VNM,2018,agriculture,70670000.0
Vietnam,VNM,2019,agriculture,68500000.0
Vietnam,VNM,2020,agriculture,70270000.0
Vietnam,VNM,1990,land use change and forestry,-72690000.0
Vietnam,VNM,1991,land use change and forestry,-72690000.0
Vietnam,VNM,1992,land use change and forestry,-72690000.0
Vietnam,VNM,1993,land use change and forestry,-72690000.0
Vietnam,VNM,1994,land use change and forestry,-72690000.0
Vietnam,VNM,1995,land use change and forestry,-72670000.0
Vietnam,VNM,1996,land use change and forestry,-72950000.0
Vietnam,VNM,1997,land use change and forestry,-73190000.0
Vietnam,VNM,1998,land use change and forestry,-71690000.0
Vietnam,VNM,1999,land use change and forestry,-72580000.0
Vietnam,VNM,2000,land use change and forestry,-72590000.0
Vietnam,VNM,2001,land use change and forestry,17210000.0
Vietnam,VNM,2002,land use change and forestry,20590000.0
Vietnam,VNM,2003,land use change and forestry,18080000.0
Vietnam,VNM,2004,land use change and forestry,18640000.0
Vietnam,VNM,2005,land use change and forestry,18660000.0
Vietnam,VNM,2006,land use change and forestry,17560000.0
Vietnam,VNM,2007,land use change and forestry,18560000.0
Vietnam,VNM,2008,land use change and forestry,17400000.0
Vietnam,VNM,2009,land use change and forestry,17580000.0
Vietnam,VNM,2010,land use change and forestry,18260000.0
Vietnam,VNM,2011,land use change and forestry,-23130000.0
Vietnam,VNM,2012,land use change and forestry,-23000000.0
Vietnam,VNM,2013,land use change and forestry,-21100000.0
Vietnam,VNM,2014,land use change and forestry,-22300000.0
Vietnam,VNM,2015,land use change and forestry,-23100000.0
Vietnam,VNM,2016,land use change and forestry,-12410000.0
Vietnam,VNM,2017,land use change and forestry,-13120000.0
Vietnam,VNM,2018,land use change and forestry,-13090000.0
Vietnam,VNM,2019,land use change and forestry,-12930000.0
Vietnam,VNM,2020,land use change and forestry,-12440000.0
Vietnam,VNM,1990,waste,2460000.0
Vietnam,VNM,1991,waste,2540000.0
Vietnam,VNM,1992,waste,2630000.0
Vietnam,VNM,1993,waste,2710000.0
Vietnam,VNM,1994,waste,2790000.0
Vietnam,VNM,1995,waste,3860000.0
Vietnam,VNM,1996,waste,4930000.0
Vietnam,VNM,1997,waste,6000000.0
Vietnam,VNM,1998,waste,7070000.0
Vietnam,VNM,1999,waste,8140000.5
Vietnam,VNM,2000,waste,9210000.0
Vietnam,VNM,2001,waste,10070000.0
Vietnam,VNM,2002,waste,10930000.0
Vietnam,VNM,2003,waste,11780000.0
Vietnam,VNM,2004,waste,12640000.0
Vietnam,VNM,2005,waste,13500000.0
Vietnam,VNM,2006,waste,14350000.0
Vietnam,VNM,2007,waste,15210000.0
Vietnam,VNM,2008,waste,16059999.0
Vietnam,VNM,2009,waste,16920000.0
Vietnam,VNM,2010,waste,17780000.0
Vietnam,VNM,2011,waste,18250000.0
Vietnam,VNM,2012,waste,18730000.0
Vietnam,VNM,2013,waste,19200000.0
Vietnam,VNM,2014,waste,19450000.0
Vietnam,VNM,2015,waste,19700000.0
Vietnam,VNM,2016,waste,19930000.0
Vietnam,VNM,2017,waste,20160000.0
Vietnam,VNM,2018,waste,20400000.0
Vietnam,VNM,2019,waste,20630000.0
Vietnam,VNM,2020,waste,20860000.0
Vietnam,VNM,1990,buildings,5270000.0
Vietnam,VNM,1991,buildings,5970000.0
Vietnam,VNM,1992,buildings,6170000.0
Vietnam,VNM,1993,buildings,6810000.0
Vietnam,VNM,1994,buildings,7010000.0
Vietnam,VNM,1995,buildings,7640000.0
Vietnam,VNM,1996,buildings,8570000.0
Vietnam,VNM,1997,buildings,8720000.0
Vietnam,VNM,1998,buildings,9340000.0
Vietnam,VNM,1999,buildings,9680000.0
Vietnam,VNM,2000,buildings,10440000.0
Vietnam,VNM,2001,buildings,11490000.0
Vietnam,VNM,2002,buildings,12110000.0
Vietnam,VNM,2003,buildings,12070000.0
Vietnam,VNM,2004,buildings,13700000.0
Vietnam,VNM,2005,buildings,14150000.0
Vietnam,VNM,2006,buildings,14030000.0
Vietnam,VNM,2007,buildings,14230000.0
Vietnam,VNM,2008,buildings,14290000.0
Vietnam,VNM,2009,buildings,14470000.0
Vietnam,VNM,2010,buildings,15340000.0
Vietnam,VNM,2011,buildings,15060000.0
Vietnam,VNM,2012,buildings,14270000.0
Vietnam,VNM,2013,buildings,15210000.0
Vietnam,VNM,2014,buildings,14920000.0
Vietnam,VNM,2015,buildings,11340000.0
Vietnam,VNM,2016,buildings,10130000.0
Vietnam,VNM,2017,buildings,10050000.0
Vietnam,VNM,2018,buildings,9540000.0
Vietnam,VNM,2019,buildings,8940000.0
Vietnam,VNM,2020,buildings,8440000.0
Vietnam,VNM,1990,industry,1160000.0
Vietnam,VNM,1991,industry,1400000.0
Vietnam,VNM,1992,industry,1860000.0
Vietnam,VNM,1993,industry,1950000.0
Vietnam,VNM,1994,industry,2190000.0
Vietnam,VNM,1995,industry,2690000.0
Vietnam,VNM,1996,industry,3100000.0
Vietnam,VNM,1997,industry,3790000.0
Vietnam,VNM,1998,industry,4610000.0
Vietnam,VNM,1999,industry,5000000.0
Vietnam,VNM,2000,industry,6260000.0
Vietnam,VNM,2001,industry,7280000.0
Vietnam,VNM,2002,industry,9050000.0
Vietnam,VNM,2003,industry,10220000.0
Vietnam,VNM,2004,industry,11230000.0
Vietnam,VNM,2005,industry,12980000.0
Vietnam,VNM,2006,industry,13450000.0
Vietnam,VNM,2007,industry,15440000.0
Vietnam,VNM,2008,industry,16930000.0
Vietnam,VNM,2009,industry,21000000.0
Vietnam,VNM,2010,industry,25720000.0
Vietnam,VNM,2011,industry,30560000.0
Vietnam,VNM,2012,industry,30840000.0
Vietnam,VNM,2013,industry,33430000.0
Vietnam,VNM,2014,industry,36190000.0
Vietnam,VNM,2015,industry,38180000.0
Vietnam,VNM,2016,industry,41690000.0
Vietnam,VNM,2017,industry,48590000.0
Vietnam,VNM,2018,industry,56480000.0
Vietnam,VNM,2019,industry,64360000.0
Vietnam,VNM,2020,industry,68870000.0
Vietnam,VNM,1990,manufacturing and construction,5920000.0
Vietnam,VNM,1991,manufacturing and construction,6520000.0
Vietnam,VNM,1992,manufacturing and construction,7050000.0
Vietnam,VNM,1993,manufacturing and construction,7500000.0
Vietnam,VNM,1994,manufacturing and construction,7660000.0
Vietnam,VNM,1995,manufacturing and construction,10740000.0
Vietnam,VNM,1996,manufacturing and construction,11300000.0
Vietnam,VNM,1997,manufacturing and construction,13510000.0
Vietnam,VNM,1998,manufacturing and construction,14040000.0
Vietnam,VNM,1999,manufacturing and construction,14090000.0
Vietnam,VNM,2000,manufacturing and construction,14780000.0
Vietnam,VNM,2001,manufacturing and construction,16800000.0
Vietnam,VNM,2002,manufacturing and construction,18700000.0
Vietnam,VNM,2003,manufacturing and construction,19990000.0
Vietnam,VNM,2004,manufacturing and construction,23170000.0
Vietnam,VNM,2005,manufacturing and construction,24440000.0
Vietnam,VNM,2006,manufacturing and construction,24540000.0
Vietnam,VNM,2007,manufacturing and construction,27260000.0
Vietnam,VNM,2008,manufacturing and construction,35800000.0
Vietnam,VNM,2009,manufacturing and construction,39410000.0
Vietnam,VNM,2010,manufacturing and construction,42040000.0
Vietnam,VNM,2011,manufacturing and construction,43820000.0
Vietnam,VNM,2012,manufacturing and construction,43240000.0
Vietnam,VNM,2013,manufacturing and construction,46520000.0
Vietnam,VNM,2014,manufacturing and construction,51710000.0
Vietnam,VNM,2015,manufacturing and construction,33770000.0
Vietnam,VNM,2016,manufacturing and construction,35480000.0
Vietnam,VNM,2017,manufacturing and construction,36960000.0
Vietnam,VNM,2018,manufacturing and construction,58390000.0
Vietnam,VNM,2019,manufacturing and construction,72030000.0
Vietnam,VNM,2020,manufacturing and construction,92750000.0
Vietnam,VNM,1990,transport,4260000.0
Vietnam,VNM,1991,transport,4030000.2
Vietnam,VNM,1992,transport,4520000.0
Vietnam,VNM,1993,transport,7060000.0
Vietnam,VNM,1994,transport,7780000.0
Vietnam,VNM,1995,transport,7440000.0
Vietnam,VNM,1996,transport,8180000.5
Vietnam,VNM,1997,transport,8940000.0
Vietnam,VNM,1998,transport,9400000.0
Vietnam,VNM,1999,transport,10050000.0
Vietnam,VNM,2000,transport,10820000.0
Vietnam,VNM,2001,transport,11560000.0
Vietnam,VNM,2002,transport,14180000.0
Vietnam,VNM,2003,transport,16020000.0
Vietnam,VNM,2004,transport,19610000.0
Vietnam,VNM,2005,transport,19820000.0
Vietnam,VNM,2006,transport,19800000.0
