Entity,Code,Year,variable,value,categories
Vietnam,VNM,1990,high systolic blood pressure,76606.99,Health Conditions and Deficiencies
Vietnam,VNM,1991,high systolic blood pressure,77228.67,Health Conditions and Deficiencies
Vietnam,VNM,1992,high systolic blood pressure,77914.97,Health Conditions and Deficiencies
Vietnam,VNM,1993,high systolic blood pressure,78750.484,Health Conditions and Deficiencies
Vietnam,VNM,1994,high systolic blood pressure,79753.41,Health Conditions and Deficiencies
Vietnam,VNM,1995,high systolic blood pressure,80920.16,Health Conditions and Deficiencies
Vietnam,VNM,1996,high systolic blood pressure,82380.055,Health Conditions and Deficiencies
Vietnam,VNM,1997,high systolic blood pressure,84078.32,Health Conditions and Deficiencies
Vietnam,VNM,1998,high systolic blood pressure,86000.2,Health Conditions and Deficiencies
Vietnam,VNM,1999,high systolic blood pressure,88333.95,Health Conditions and Deficiencies
Vietnam,VNM,2000,high systolic blood pressure,90746.51,Health Conditions and Deficiencies
Vietnam,VNM,2001,high systolic blood pressure,94198.33,Health Conditions and Deficiencies
Vietnam,VNM,2002,high systolic blood pressure,98240.51,Health Conditions and Deficiencies
Vietnam,VNM,2003,high systolic blood pressure,102876.58,Health Conditions and Deficiencies
Vietnam,VNM,2004,high systolic blood pressure,107873.63,Health Conditions and Deficiencies
Vietnam,VNM,2005,high systolic blood pressure,112655.1,Health Conditions and Deficiencies
Vietnam,VNM,2006,high systolic blood pressure,117562.42,Health Conditions and Deficiencies
Vietnam,VNM,2007,high systolic blood pressure,123207.336,Health Conditions and Deficiencies
Vietnam,VNM,2008,high systolic blood pressure,128665.94,Health Conditions and Deficiencies
Vietnam,VNM,2009,high systolic blood pressure,133769.0,Health Conditions and Deficiencies
Vietnam,VNM,2010,high systolic blood pressure,137386.23,Health Conditions and Deficiencies
Vietnam,VNM,2011,high systolic blood pressure,140529.73,Health Conditions and Deficiencies
Vietnam,VNM,2012,high systolic blood pressure,143052.52,Health Conditions and Deficiencies
Vietnam,VNM,2013,high systolic blood pressure,145329.9,Health Conditions and Deficiencies
Vietnam,VNM,2014,high systolic blood pressure,147502.94,Health Conditions and Deficiencies
Vietnam,VNM,2015,high systolic blood pressure,149183.66,Health Conditions and Deficiencies
Vietnam,VNM,2016,high systolic blood pressure,151405.02,Health Conditions and Deficiencies
Vietnam,VNM,2017,high systolic blood pressure,153703.1,Health Conditions and Deficiencies
Vietnam,VNM,2018,high systolic blood pressure,156111.52,Health Conditions and Deficiencies
Vietnam,VNM,2019,high systolic blood pressure,158375.45,Health Conditions and Deficiencies
Vietnam,VNM,1990,diet high in sodium,21520.91,Diet-related Factors
Vietnam,VNM,1991,diet high in sodium,21630.486,Diet-related Factors
Vietnam,VNM,1992,diet high in sodium,21716.541,Diet-related Factors
Vietnam,VNM,1993,diet high in sodium,21825.096,Diet-related Factors
Vietnam,VNM,1994,diet high in sodium,21955.164,Diet-related Factors
