Year,category,count
1991,pre_2007_motorbikes,1522184.0
1992,pre_2007_motorbikes,1704225.0
1993,pre_2007_motorbikes,2427163.0
1994,pre_2007_motorbikes,3052847.0
1995,pre_2007_motorbikes,3578156.0
1996,pre_2007_motorbikes,4208247.0
1997,pre_2007_motorbikes,4827218.0
1998,pre_2007_motorbikes,5200000.0
1999,pre_2007_motorbikes,5600000.0
2000,pre_2007_motorbikes,6478000.0
2001,pre_2007_motorbikes,8395835.0
2002,pre_2007_motorbikes,10988543.0
2003,pre_2007_motorbikes,11379000.0
2004,pre_2007_motorbikes,13735000.0
2005,pre_2007_motorbikes,12042955.0
2006,pre_2007_motorbikes,13479123.0
2007,pre_2007_motorbikes,12701017.0
2008,pre_2007_motorbikes,19673000.0
2009,pre_2007_motorbikes,19695000.0
2010,pre_2007_motorbikes,18905000.0
2011,pre_2007_motorbikes,18274000.0
2012,pre_2007_motorbikes,18244000.0
2013,pre_2007_motorbikes,16993000.0
2014,pre_2007_motorbikes,17107000.0
2015,pre_2007_motorbikes,17518000.0
2016,pre_2007_motorbikes,17131000.0
2017,pre_2007_motorbikes,20473000.0
2018,pre_2007_motorbikes,20979430.0
2019,pre_2007_motorbikes,20924822.0
2020,pre_2007_motorbikes,28037367.0
2021,pre_2007_motorbikes,0.0
2022,pre_2007_motorbikes,0.0
1991,cumsum_sales_2007,
1992,cumsum_sales_2007,
1993,cumsum_sales_2007,
1994,cumsum_sales_2007,
1995,cumsum_sales_2007,
1996,cumsum_sales_2007,
1997,cumsum_sales_2007,
1998,cumsum_sales_2007,
1999,cumsum_sales_2007,
2000,cumsum_sales_2007,
2001,cumsum_sales_2007,
2002,cumsum_sales_2007,
2003,cumsum_sales_2007,
2004,cumsum_sales_2007,
2005,cumsum_sales_2007,
2006,cumsum_sales_2007,
2007,cumsum_sales_2007,3000000.0
2008,cumsum_sales_2007,5600000.0
2009,cumsum_sales_2007,8500000.0
2010,cumsum_sales_2007,12250000.0
2011,cumsum_sales_2007,15500000.0
2012,cumsum_sales_2007,18650000.0
2013,cumsum_sales_2007,21650000.0
2014,cumsum_sales_2007,24090000.0
2015,cumsum_sales_2007,26610000.0
2016,cumsum_sales_2007,30000000.0
2017,cumsum_sales_2007,30000000.0
2018,cumsum_sales_2007,30000000.0
2019,cumsum_sales_2007,30000000.0
2020,cumsum_sales_2007,30000000.0
2021,cumsum_sales_2007,
2022,cumsum_sales_2007,
1991,cumsum_sales_2017,
1992,cumsum_sales_2017,
1993,cumsum_sales_2017,
1994,cumsum_sales_2017,
1995,cumsum_sales_2017,
1996,cumsum_sales_2017,
1997,cumsum_sales_2017,
1998,cumsum_sales_2017,
1999,cumsum_sales_2017,
2000,cumsum_sales_2017,
2001,cumsum_sales_2017,
2002,cumsum_sales_2017,
2003,cumsum_sales_2017,
2004,cumsum_sales_2017,
2005,cumsum_sales_2017,
2006,cumsum_sales_2017,
2007,cumsum_sales_2017,
2008,cumsum_sales_2017,
2009,cumsum_sales_2017,
2010,cumsum_sales_2017,
2011,cumsum_sales_2017,
2012,cumsum_sales_2017,
2013,cumsum_sales_2017,
2014,cumsum_sales_2017,
2015,cumsum_sales_2017,
2016,cumsum_sales_2017,
2017,cumsum_sales_2017,3590000.0
2018,cumsum_sales_2017,7190000.0
2019,cumsum_sales_2017,10640000.0
2020,cumsum_sales_2017,13620000.0
2021,cumsum_sales_2017,
2022,cumsum_sales_2017,
1991,cumsum_sales_ebikes,
1992,cumsum_sales_ebikes,
1993,cumsum_sales_ebikes,
1994,cumsum_sales_ebikes,
1995,cumsum_sales_ebikes,
1996,cumsum_sales_ebikes,
1997,cumsum_sales_ebikes,
1998,cumsum_sales_ebikes,
1999,cumsum_sales_ebikes,
2000,cumsum_sales_ebikes,
2001,cumsum_sales_ebikes,
2002,cumsum_sales_ebikes,
2003,cumsum_sales_ebikes,
2004,cumsum_sales_ebikes,
2005,cumsum_sales_ebikes,
2006,cumsum_sales_ebikes,
2007,cumsum_sales_ebikes,
2008,cumsum_sales_ebikes,
2009,cumsum_sales_ebikes,
2010,cumsum_sales_ebikes,
2011,cumsum_sales_ebikes,
2012,cumsum_sales_ebikes,
2013,cumsum_sales_ebikes,
2014,cumsum_sales_ebikes,
2015,cumsum_sales_ebikes,
2016,cumsum_sales_ebikes,
2017,cumsum_sales_ebikes,
2018,cumsum_sales_ebikes,
2019,cumsum_sales_ebikes,163428.0
2020,cumsum_sales_ebikes,403953.0
2021,cumsum_sales_ebikes,
2022,cumsum_sales_ebikes,
