date,pm25,o3,no2,co,city,pm10,so2
2023-01-01,129, 11, 32, 7,Hanoi, 54, 18
2023-01-01,65, 21, 15, 2,New York,,
2023-01-02,144, 8, 28, 6,Hanoi, 66, 18
2023-01-02,46, 8, 23, 3,New York,,
2023-01-03,164, 4, 29, 8,Hanoi, 59, 18
2023-01-03,55, , 27, 6,New York,,
2023-01-04,123, 3, 37, 11,Hanoi, 100, 18
2023-01-04,68, 3, 23, 4,New York,,
2023-01-05,173, 5, 31, 8,Hanoi, 81, 18
2023-01-05,68, 8, 12, 3,New York,,
2023-01-06,153, 9, 20, 4,Hanoi, 56, 18
2023-01-06,56, 14, 15, 3,New York,,
2023-01-07,97, 10, 36, 11,Hanoi, 75, 18
2023-01-07,52, 12, 13, 3,New York,,
2023-01-08,137, 11, 43, 10,Hanoi, 118, 18
2023-01-08,42, 16, 15, 2,New York,,
2023-01-09,197, 10, 39, 11,Hanoi, 114, 18
2023-01-09,37, 16, 17, 3,New York,,
2023-01-10,195, 3, 31, 9,Hanoi, 104, 18
2023-01-10,50, 15, 19, 3,New York,,
2023-01-11,178, 2, 21, 10,Hanoi, 81, 18
2023-01-11,58, 16, 16, 2,New York,,
2023-01-12,148, 1, 19, 10,Hanoi, 57, 18
2023-01-12,39, 24, 18, 3,New York,,
2023-01-13,98, 2, 23, 11,Hanoi, 62, 18
2023-01-13,46, 18, 20, 3,New York,,
2023-01-14,108, 10, 24, 9,Hanoi, 77, 18
2023-01-14,59, , 7, 1,New York,,
2023-01-15,136, 5, 16, 6,Hanoi, 62, 18
2023-01-15,38, , 6, 1,New York,,
2023-01-16,107, 6, 13, 5,Hanoi, 33, 17
2023-01-16,34, , 12, 2,New York,,
2023-01-17,50, 6, 8, 4,Hanoi, 62, 18
2023-01-17,41, 1, 33, 2,New York,,
2023-01-18,102, 9, 9, 6,Hanoi, 65, 18
2023-01-18,51, 8, 17, ,New York,,
2023-01-19,108, 7, 10, 8,Hanoi, 91, 18
2023-01-19,55, 6, 17, ,New York,,
2023-01-20,160, 7, 9, 9,Hanoi, 99, 18
2023-01-20,33, 7, 14, ,New York,,
2023-01-21,177, 17, 14, 7,Hanoi, 121, 18
2023-01-21,45, 17, 8, ,New York,,
2023-01-22,197, 8, 14, 7,Hanoi, 120, 18
2023-01-22,33, 15, 13, ,New York,,
2023-01-23,207, 4, 15, 5,Hanoi, 86, 18
2023-01-23,43, 19, 11, ,New York,,
2023-01-24,151, 13, 10, 2,Hanoi, 50, 17
2023-01-24,40, 21, 11, ,New York,,
2023-01-25,68, 11, 12, 3,Hanoi, 67, 18
2023-01-25,45, 29, 18, ,New York,,
2023-01-26,112, 7, 9, 5,Hanoi, 82, 18
2023-01-26,46, 21, 10, ,New York,,
2023-01-27,143, 10, 10, 4,Hanoi, 72, 18
2023-01-27,36, 14, 16, ,New York,,
